date,terminal,volume_bbl,total_liquids_mbbl
2020-02-01,AJE,66293.0,0.066293
2020-03-01,AJE,69383.0,0.069383
2020-04-01,AJE,127431.0,0.127431
2020-05-01,AJE,64296.0,0.064296
2020-06-01,AJE,57639.0,0.057639
2020-07-01,AJE,69412.0,0.069412
2020-08-01,AJE,56360.0,0.05636
2020-09-01,AJE,50439.0,0.050439
2020-10-01,AJE,42441.0,0.042441
2020-11-01,AJE,41658.0,0.041658
2020-12-01,AJE,44538.0,0.044538
2021-01-01,AJE,44429.0,0.044429
2021-02-01,AJE,38363.0,0.038363
2021-03-01,AJE,42115.0,0.042115
2021-04-01,AJE,44243.0,0.044243
2021-05-01,AJE,39806.0,0.039806
2021-06-01,AJE,37872.0,0.037872
2021-07-01,AJE,38866.0,0.038866
2021-08-01,AJE,38810.0,0.03881
2021-09-01,AJE,44051.0,0.044051
2021-10-01,AJE,37602.0,0.037602
2021-11-01,AJE,1196.0,0.001196
2020-01-01,AKPO,3100072.0,3.100072
2020-02-01,AKPO,2866461.0,2.866461
2020-03-01,AKPO,3032866.0,3.032866
2020-04-01,AKPO,2833671.0,2.833671
2020-05-01,AKPO,3030827.0,3.030827
2020-06-01,AKPO,2889518.0,2.889518
2020-07-01,AKPO,3049214.0,3.049214
2020-08-01,AKPO,3081016.0,3.081016
2020-09-01,AKPO,2839053.0,2.839053
2020-10-01,AKPO,2943985.0,2.943985
2020-11-01,AKPO,2860368.0,2.860368
2020-12-01,AKPO,3076909.0,3.076909
2021-01-01,AKPO,3041403.0,3.041403
2021-02-01,AKPO,2518196.0,2.518196
2021-03-01,AKPO,2751784.0,2.751784
2021-04-01,AKPO,2818550.0,2.81855
2021-05-01,AKPO,2599618.0,2.599618
2021-06-01,AKPO,2759360.0,2.75936
2021-07-01,AKPO,2503941.0,2.503941
2021-08-01,AKPO,2535168.0,2.535168
2021-09-01,AKPO,2451972.0,2.451972
2021-10-01,AKPO,2629931.0,2.629931
2021-11-01,AKPO,2316585.0,2.316585
2021-12-01,AKPO,2674107.0,2.674107
2022-01-01,AKPO,2639867.0,2.639867
2022-02-01,AKPO,2094179.0,2.094179
2022-03-01,AKPO,2237711.0,2.237711
2022-04-01,AKPO,2354039.0,2.354039
2022-05-01,AKPO,2510658.0,2.510658
2022-06-01,AKPO,2466647.0,2.466647
2022-07-01,AKPO,2512634.0,2.512634
2022-08-01,AKPO,2107037.0,2.107037
2022-09-01,AKPO,2117687.0,2.117687
2022-10-01,AKPO,2247362.0,2.247362
2022-11-01,AKPO,2195415.0,2.195415
2022-12-01,AKPO,2476504.0,2.476504
2023-01-01,AKPO,2349005.0,2.349005
2023-02-01,AKPO,2141857.0,2.141857
2023-03-01,AKPO,2259872.0,2.259872
2023-04-01,AKPO,2096290.0,2.09629
2023-05-01,AKPO,2059669.0,2.059669
2023-06-01,AKPO,2253776.0,2.253776
2023-07-01,AKPO,2055689.0,2.055689
2023-08-01,AKPO,2283199.0,2.283199
2023-09-01,AKPO,2181558.0,2.181558
2023-10-01,AKPO,1850987.0,1.850987
2023-11-01,AKPO,1819869.0,1.819869
2023-12-01,AKPO,1865929.0,1.865929
2024-01-01,AKPO,1664866.0,1.664866
2024-02-01,AKPO,1530025.0,1.530025
2024-03-01,AKPO,1097985.0,1.097985
2024-04-01,AKPO,171015.0,0.171015
2024-05-01,AKPO,1846476.0,1.846476
2024-06-01,AKPO,1883331.0,1.883331
2024-07-01,AKPO,2072037.0,2.072037
2024-08-01,AKPO,2101571.0,2.101571
2024-09-01,AKPO,1854178.0,1.854178
2024-10-01,AKPO,1977989.0,1.977989
2024-11-01,AKPO,1820724.0,1.820724
2024-12-01,AKPO,1745986.0,1.745986
2025-01-01,AKPO,1809868.0,1.809868
2025-02-01,AKPO,1589595.0,1.589595
2025-03-01,AKPO,1761716.0,1.761716
2025-04-01,AKPO,1535388.0,1.535388
2025-05-01,AKPO,1653239.0,1.653239
2025-06-01,AKPO,1393175.0,1.393175
2025-07-01,AKPO,1565279.0,1.565279
2025-08-01,AKPO,1440640.0,1.44064
2025-09-01,AKPO,1635293.0,1.635293
2025-10-01,AKPO,1688515.0,1.688515
2025-11-01,AKPO,1277166.0,1.277166
2025-12-01,AKPO,1530631.0,1.530631
2026-01-01,AKPO,1553419.0,1.553419
2026-02-01,AKPO,1305498.0,1.305498
2026-03-01,AKPO,1288584.0,1.288584
2026-04-01,AKPO,1341251.0,1.341251
2020-01-01,ANTAN,572634.0,0.572634
2020-02-01,ANTAN,545797.0,0.545797
2020-03-01,ANTAN,562034.0,0.562034
2020-04-01,ANTAN,526343.0,0.526343
2020-05-01,ANTAN,515089.0,0.515089
2020-06-01,ANTAN,548377.0,0.548377
2020-07-01,ANTAN,520134.0,0.520134
2020-08-01,ANTAN,489157.0,0.489157
2020-09-01,ANTAN,431580.0,0.43158
2020-10-01,ANTAN,483447.0,0.483447
2020-11-01,ANTAN,473841.0,0.473841
2020-12-01,ANTAN,503570.0,0.50357
2021-01-01,ANTAN,498693.0,0.498693
2021-02-01,ANTAN,477635.0,0.477635
2021-03-01,ANTAN,513685.0,0.513685
2021-04-01,ANTAN,483758.0,0.483758
2021-05-01,ANTAN,476839.0,0.476839
2021-06-01,ANTAN,488765.0,0.488765
2021-07-01,ANTAN,369563.0,0.369563
2021-08-01,ANTAN,440722.0,0.440722
2021-09-01,ANTAN,418023.0,0.418023
2021-10-01,ANTAN,500313.0,0.500313
2021-11-01,ANTAN,463230.0,0.46323
2021-12-01,ANTAN,446262.0,0.446262
2022-01-01,ANTAN,471742.0,0.471742
2022-02-01,ANTAN,440628.0,0.440628
2022-03-01,ANTAN,444493.0,0.444493
2022-04-01,ANTAN,457867.0,0.457867
2022-05-01,ANTAN,476620.0,0.47662
2022-06-01,ANTAN,515267.0,0.515267
2022-07-01,ANTAN,593525.0,0.593525
2022-08-01,ANTAN,602193.0,0.602193
2022-09-01,ANTAN,490610.0,0.49061
2022-10-01,ANTAN,370655.0,0.370655
2022-11-01,ANTAN,411956.0,0.411956
2022-12-01,ANTAN,424338.0,0.424338
2023-01-01,ANTAN,482616.0,0.482616
2023-02-01,ANTAN,398682.0,0.398682
2023-03-01,ANTAN,411086.0,0.411086
2023-04-01,ANTAN,347931.0,0.347931
2023-05-01,ANTAN,308290.0,0.30829
2023-06-01,ANTAN,355514.0,0.355514
2023-07-01,ANTAN,330159.0,0.330159
2023-08-01,ANTAN,372308.0,0.372308
2023-09-01,ANTAN,337485.0,0.337485
2023-10-01,ANTAN,381480.0,0.38148
2023-11-01,ANTAN,399567.0,0.399567
2023-12-01,ANTAN,390440.0,0.39044
2024-01-01,ANTAN,348555.0,0.348555
2024-02-01,ANTAN,339797.0,0.339797
